Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),alk,KB08
FG1-Dc,Thy2006,1atm_furnace,0.001,0.00001,1117,gl-ol-cp-pl,48.18,5.2,11.56,16.64,0.22,4.78,9.4,2.54,0.58,0.56,,,99.66,4.744,3.02152,-0.09848,1.624,3.12,5.8572
FG1-Dc,Thy2006,1atm_furnace,0.001,0.00001,1106,gl-ol-cp-pl,48.45,5.17,11.33,16.91,0.28,4.49,9.02,2.55,0.67,0.59,,,99.46,4.96,3.1603,-0.0597,1.74,3.22,6.0775
FG1-Dc,Thy2006,1atm_furnace,0.001,0.00001,1138,gl-ol-cp-pl,48.6,4.39,12.01,16.87,0.25,5.08,9.76,2.48,0.59,0.36,,,100.39,5.08,3.2374,0.1674,2.01,3.07,3.9991
B1,Botcharnikov2008,IHPV,2,0.02,1100,gl-ol-cp-pl,48.79,3.7,13.84,14.08,,4.93,10.01,2.97,0.35,,1.9,,100.57,5.232,3.33506,0.01506,1.912,3.32,3.0072
B1,Botcharnikov2008,IHPV,2,0.02,1100,gl-ol-cp-pl,49.95,3.72,14.59,12.78,,5.14,10.16,2.95,0.38,,0.6,,100.27,6.16,3.9313,0.6013,2.83,3.33,5.0723
B1,Botcharnikov2008,IHPV,2,0.02,1075,gl-ol-cp-pl,48.63,4.59,13.55,15.12,,4.11,8.98,2.95,0.52,,2,,100.45,5.104,3.25282,-0.21718,1.634,3.47,0.7681
R6a,Feig2010,IHPV,2.017,0.02,1140,gl-ol-cp-pl,53.43,0.5,18.53,4.57,,7.39,11.28,3.67,,,,,99.38,8.944,5.72002,2.05002,5.274,3.67,0.7798
R6a,Feig2010,IHPV,2.056,0.02,1180,gl-ol-cp-pl,52.3,0.5,17.28,6.93,,7.63,11.77,3.37,0.09,,,,99.86,8.04,5.1392,1.6792,4.58,3.46,16.6896
ICPP123-260,Whitaker2007,Piston Cylinder,9.3,0.5,1220,gl-ol-cp-pl,45.08,2.47,15.9,13.21,0.18,6.46,9.13,3.04,0.81,0.5,0.11,,96.89,2.264,1.42812,-2.42188,-1.586,3.85,21.4044
ICPP123-260,Whitaker2007,Piston Cylinder,9.3,0.5,1200,gl-ol-cp-pl-sp,43.81,3.37,15.35,14.66,0.18,5.77,8.44,3.25,1.15,0.75,0.21,,96.94,1.248,0.77534,-3.62466,-3.152,4.4,28.144
