Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),alk,KB08
STAN-9,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1126,gl-ol-cp-pl,45.8,4.33,14.1,11.7,0.17,4.9,10.5,3.98,1.7,1.36,,,98.54,2.84,1.7982,-3.8818,-2.84,5.68,24.3616
SI-1,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1123,gl-ol-cp-pl,45.6,5.09,14.3,12.2,,4.7,9.38,4.2,2.01,1.43,,,98.91,2.68,1.6954,-4.5146,-3.53,6.21,8.8743
PSU-8,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1100,gl-ol-cp-pl,46.1,5.09,13.4,13.3,0.22,4.31,10.1,3.5,2.08,1.61,,,99.71,3.08,1.9524,-3.6276,-2.5,5.58,12.9073
PSU-6,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1097,gl-ol-cp-pl,45.2,5.05,13.4,12.5,0.14,4.21,9.29,3.99,2.1,1.61,,,97.49,2.36,1.4898,-4.6002,-3.73,6.09,36.6738
PSU-10,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1076,gl-ol-cp-pl-ox,47.9,4.55,14.6,11.7,0.28,3.69,8.47,4.36,2.82,2.03,,,100.4,4.52,2.8776,-4.3024,-2.66,7.18,2.0688
PSU-5,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1075,gl-ol-cp-pl-ox,49,3.47,15.6,8.93,0.26,3.27,7.11,4.52,3.69,2.26,,,98.1,5.4,3.443,-4.767,-2.81,8.21,7.084
PSU-12,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1055,gl-ol-cp-pl-ox,50.5,2.77,15.8,8.16,0.07,3.41,6.04,5.19,3.96,3.05,,,98.95,6.6,4.214,-4.936,-2.55,9.15,5.6488
Ia-909,"Mahood, G.A., Baker, D.R. (1986)",Piston Cylinder,8,0.03,1125,gl-ol-cp-pl,45.2,4.75,15.2,12.7,0.17,4.66,8.04,4.37,2.29,1.43,,,98.8,2.36,1.4898,-5.1702,-4.3,6.66,3.6881
Ia-919,"Mahood, G.A., Baker, D.R. (1986)",Piston Cylinder,8,0.03,1100,gl-ol-cp-pl-ox,46.8,4.03,15.9,11.2,0.16,3.81,6.61,5.05,3.42,1.65,,,98.63,3.64,2.3122,-6.1578,-4.83,8.47,11.7318
Ia-948,"Mahood, G.A., Baker, D.R. (1986)",Piston Cylinder,8,0.03,1100,gl-ol-cp-pl,44.6,4.81,15,13.5,0.2,4.38,8.11,4.49,2.39,1.87,,,99.35,1.88,1.1814,-5.6986,-5,6.88,5.7252
SI-2,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1123,gl-ol-cp-pl,47.8,4.39,13.2,13.2,,4.48,9.17,3.75,1.77,1.36,,,99.1,4.44,2.8262,-2.6938,-1.08,5.52,7.1988
SI-13,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1091,gl-ol-cp-pl-ox,48.5,4.32,13.3,13.5,,3.7,8.35,4.11,2.45,1.88,,,100.1,5,3.186,-3.374,-1.56,6.56,5.3158
6,"Kennedy, A.K., Grove, T.L., Johnson, R.W. (1990)",1atm_furnace,0.001,,1127,gl-ol-cp-pl,47.7,0.98,15.6,11.783588,0.23,4.69,10.3,3.3,2.86,0.56,,,98.21,4.36,2.7748,-3.3852,-1.8,6.16,-0.9755
7,"Kennedy, A.K., Grove, T.L., Johnson, R.W. (1990)",1atm_furnace,0.001,,1119,gl-ol-cp-pl-sp,40,0.95,15.7,11.161604,0.22,4.37,9.3,3.48,3.43,0.62,,,89.43,-1.8,-1.183,-8.093,-8.71,6.91,35.8664
8,"Kennedy, A.K., Grove, T.L., Johnson, R.W. (1990)",1atm_furnace,0.001,,1109,gl-ol-cp-pl-sp,48.2,0.99,15.5,11.645612,0.24,4.53,10.1,3.47,3.34,0.62,,,98.82,4.76,3.0318,-3.7782,-2.05,6.81,0.8563
11,"Kennedy, A.K., Grove, T.L., Johnson, R.W. (1990)",1atm_furnace,0.001,,1137,gl-ol-cp-pl,49.4,1,15.3,11.568598,0.21,4.94,10.4,2.83,2.9,0.52,,,99.28,5.72,3.6486,-2.0814,-0.01,5.73,0.714
12,"Kennedy, A.K., Grove, T.L., Johnson, R.W. (1990)",1atm_furnace,0.001,,1135,gl-ol-cp-pl,49.5,1,15.3,11.597536,0.22,4.59,9.8,3.05,3.15,0.48,,,98.92,5.8,3.7,-2.5,-0.4,6.2,0.8002
13,"Kennedy, A.K., Grove, T.L., Johnson, R.W. (1990)",1atm_furnace,0.001,,1135,gl-ol-cp-pl-sp,49.9,1.04,15.4,11.19443,0.23,4.59,9.1,3.22,3.37,0.52,,,98.85,6.12,3.9056,-2.6844,-0.47,6.59,-1.199
14,"Kennedy, A.K., Grove, T.L., Johnson, R.W. (1990)",1atm_furnace,0.001,,1115,gl-ol-cp-pl-sp,51.6,0.79,16.9,8.796534,0.26,3.56,7.4,4.14,4.66,0.79,,,99.13,7.48,4.7794,-4.0206,-1.32,8.8,3.0642
33,Thy 1991,Piston Cylinder,0.001,,1131,gl-ol-cp-pl,47.62,4.3,12.4,14.07,0.26,4.97,10.63,3.36,0.82,0.55,,,98.98,4.296,2.73368,-1.44632,0.116,4.18,4.9644
27,Thy 1991,Piston Cylinder,0.001,,1130,gl-ol-cp-pl-sp,47.44,4.02,13.07,13.98,0.29,5.55,11.01,3.58,0.71,0.5,,,100.16,4.152,2.64116,-1.64884,-0.138,4.29,2.4574
18,Thy 1991,Piston Cylinder,0.001,,1124,gl-ol-cp-pl-sp,47.17,3.42,12.77,13.59,0.25,5.32,11.71,3.25,0.71,0.43,,,98.62,3.936,2.50238,-1.45762,-0.024,3.96,5.2531
26,Thy 1991,Piston Cylinder,0.001,,1118,gl-ol-cp-pl-sp,47.54,4.57,13.2,13.59,0.23,4.8,9.16,3.63,1.16,0.61,,,98.49,4.232,2.69256,-2.09744,-0.558,4.79,2.3632
,,,,,,,,,,,,,,,,,,,,,,,,,
47,Thy 1991,Piston Cylinder,12.5,,1240,gl-ol-cp-pl,45.85,2.85,16.88,13.85,0.24,5.24,8.28,4.88,0.77,0.46,,,99.3,2.88,1.8239,-3.8261,-2.77,5.65,7.7732
3,Thy 1991,Piston Cylinder,10,,1220,gl-ol-cp-pl,46.63,3.88,15.41,9.95,0.24,6.95,10.23,3.58,0.69,0.54,,,98.1,3.504,2.22482,-2.04518,-0.766,4.27,16.1643
6,Thy 1991,Piston Cylinder,10,,1180,gl-ol-cp-pl,45.49,4.01,14.97,14.86,0.26,5.17,9.68,4.15,0.85,0.5,,,100.04,2.592,1.63886,-3.36114,-2.408,5,7.0899
DVDP2 basanite,"Gerke et al., 2004",1atm_furnace,0.001,,"1,104",gl-ol-cp-pl-ox,42.64,5.39,15.92,9.822666,0.19,4.23,9.48,4.82,2.76,1.87,,,97.26,0.312,0.17396,-7.40604,-7.268,7.58,4.7136
DVDP2 hawaiite,"Gerke et al., 2004",1atm_furnace,0.001,,"1,104",gl-ol-cp-pl,46.8,3.36,17.14,8.887696,0.21,3.45,7.44,5.8,3.07,0.79,,,97.08,3.64,2.3122,-6.5578,-5.23,8.87,97.5476
DVDP2 hawaiite,"Gerke et al., 2004",1atm_furnace,0.001,,"1,049",gl-ol-cp-pl,49.39,3.29,17.36,7.97473,0.23,2.41,5.78,6.16,3.91,1.22,,,97.83,5.712,3.64346,-6.42654,-4.358,10.07,6.405
83415 Ne-hawaiite,"Gerke et al., 2004",1atm_furnace,0.001,,"1,089",gl-ol-cp-pl,48.72,3.1,17.57,9.39968,0.21,2.97,5.71,5.53,3.6,1.2,,,98.15,5.176,3.29908,-5.83092,-3.954,9.13,6.9509
83415 Ne-hawaiite,"Gerke et al., 2004",1atm_furnace,0.001,,"1,049",gl-ol-cp-pl,48.7,3.25,16.97,8.132726,0.29,2.59,5.67,6.04,3.71,1.52,,,96.99,5.16,3.2888,-6.4612,-4.59,9.75,5.4306
9005,Thy and Lofgren 1994,1atm_furnace,0.001,,1098,gl-ol-cp-pl,47.28,5.29,11.69,15.87,0.32,4.48,9.39,2.8,1.05,0.66,,,,4.024,2.55892,-1.29108,0.174,3.85,4.8309
9005,Thy and Lofgren 1994,1atm_furnace,0.001,,1090,gl-ol-cp-pl-ox,48.22,4.89,11.53,16.26,0.36,3.9,8.72,2.92,1.25,0.74,,,,4.776,3.04208,-1.12792,0.606,4.17,4.7447
9005,Thy and Lofgren 1994,1atm_furnace,0.001,,1081,gl-ol-cp-pl-ox,49.55,4.19,11.78,16.14,0.33,3.5,8.09,3.09,1.53,1,,,,5.84,3.7257,-0.8943,1.22,4.62,3.3708
9005,Thy and Lofgren 1994,1atm_furnace,0.001,,1071,gl-ol-cp-pl-ox,51.02,3.73,11.89,15.45,0.38,3.33,7.63,3.17,1.76,1.09,,,,7.016,4.48128,-0.44872,2.086,4.93,2.8409
9005,Thy and Lofgren 1994,1atm_furnace,0.001,,1062,gl-ol-cp-pl-ox - ox,53.39,3.12,12.02,14.5,0.25,2.88,6.87,3.34,2.04,1.62,,,,8.912,5.69946,0.31946,3.532,5.38,2.4669
9005,Thy and Lofgren 1994,1atm_furnace,0.001,,1051,gl-ol-cp-pl-ox - ox,54.17,2.72,12.3,13.4,0.26,2.47,6.49,3.29,2.32,1.86,,,,9.536,6.10038,0.49038,3.926,5.61,7.8299
8759,Thy and Lofgren 1994,1atm_furnace,0.001,,1126,gl-ol-cp-pl,46.16,5.11,11.83,16.65,0.35,4.25,9.45,3.43,0.91,0.58,,,,3.128,1.98324,-2.35676,-1.212,4.34,6.6843
8759,Thy and Lofgren 1994,1atm_furnace,0.001,,1117,gl-ol-cp-pl,47.52,4.67,12.13,16.29,0.31,3.85,8.71,3.8,1.11,0.66,,,,4.216,2.68228,-2.22772,-0.694,4.91,2.573
8759,Thy and Lofgren 1994,1atm_furnace,0.001,,1107,gl-ol-cp-pl,51.63,3.63,12.58,14,0.34,3.19,7.22,3.95,1.76,1.03,,,,7.504,4.79482,-0.91518,1.794,5.71,3.3746
8759,Thy and Lofgren 1994,1atm_furnace,0.001,,1098,gl-ol-cp-pl-ox,52.05,3.52,12.31,14.17,0.31,3.17,6.92,3.92,1.83,1.36,,,,7.84,5.0107,-0.7393,2.09,5.75,2.9742
8759,Thy and Lofgren 1994,1atm_furnace,0.001,,1090,gl-ol-cp-pl-ox,52.85,2.84,12.67,13.12,0.29,2.96,6.69,4.13,2.16,1.65,,,,8.48,5.4219,-0.8681,2.19,6.29,11.5618
SAX2,Thy and Lofgren 1994,1atm_furnace,0.001,,1081,gl-ol-cp-pl-ox,45.89,3.72,15.03,13.06,0.23,5.48,10.06,2.76,1.04,0.84,,,,2.912,1.84446,-1.95554,-0.888,3.8,11.7114
SAX2,Thy and Lofgren 1994,1atm_furnace,0.001,,1071,gl-ol-cp-pl-ox - ox,45.99,3.75,15.03,13.15,0.24,5.5,10.12,2.74,1.06,0.88,,,,2.992,1.89586,-1.90414,-0.808,3.8,10.5125
SAX2,Thy and Lofgren 1994,1atm_furnace,0.001,,1062,gl-ol-cp-pl-ox - ox,45.99,3.85,14.64,13.14,0.24,5.44,10.14,2.73,1.1,0.88,,,,2.992,1.89586,-1.93414,-0.838,3.83,
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,48.88,1.07,13.89,9.72,0.15,8.84,14.39,1.48,0.021,0.033,,0.14,98.6,,,,,1.501,-1.4132
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,48.78,1.08,14.01,10.35,0.15,8.69,14.13,1.48,0.035,0.06,,0.13,98.89,,,,,1.515,-0.08
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.47,1.06,14.02,9.93,0.2,8.75,14.44,1.48,0.042,0.023,,0.09,99.53,,,,,1.522,-1.4201
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.03,1.06,13.99,10.43,0.23,8.81,14.38,1.44,0.031,0.03,,0.07,99.53,,,,,1.471,-0.3089
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,48.78,1.07,13.97,10.15,0.2,8.61,14.4,1.44,0.03,0.026,,0.1,98.78,,,,,1.47,-0.8319
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.51,1.03,14.02,10.41,0.23,8.73,14.46,1.42,0.044,0.033,,0.11,100.01,,,,,1.464,-0.7922
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.43,1.04,14.06,10.35,0.26,8.66,14.53,1.51,0.019,0.039,,0.12,100.05,,,,,1.529,-0.786
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.43,1.05,14.12,10.2,0.22,8.94,14.57,1.49,0.041,0.044,,0.09,100.25,,,,,1.531,-0.6949
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.03,1.04,14.13,10.1,0.3,8.71,14.4,1.41,0.038,0.045,,0.09,99.32,,,,,1.448,-0.3986
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.25,1.03,14.08,10.45,0.18,8.69,14.26,1.48,0.023,0.035,,0.1,99.6,,,,,1.503,-0.3137
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.12,1.02,14.04,9.73,0.18,8.79,14.46,1.44,0.036,0.051,,0.08,98.95,,,,,1.476,-1.2938
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.05,0.98,14.11,9.98,0.15,8.84,14.51,1.43,0.006,0.037,,0.07,99.16,,,,,1.436,-0.849
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.47,1.03,14.07,10.22,0.24,8.79,14.41,1.46,0.002,0.037,,0.08,99.81,,,,,1.462,-0.6877
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,48.97,1.02,13.92,10.39,0.22,8.75,14.57,1.49,0.043,0.061,,0.1,99.54,,,,,1.533,-0.6752
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.08,1.03,13.89,10.33,0.21,8.91,14.63,1.52,0.008,0.024,,0.13,99.81,,,,,1.528,-0.8879
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,49.05,1.03,13.97,9.95,0.21,8.73,14.48,1.49,0.023,0.032,,0.14,99.14,,,,,1.513,-1.1997
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,48.86,1.03,14.06,10.24,0.2,8.8,14.39,1.47,0.03,0.028,,0.12,99.26,,,,,1.5,-0.381
mid20,Miller (thesis),1 atm,0.001,,1200,gl-ol-cp-pl,48.42,1.05,14.04,10.39,0.22,8.96,14.4,1.43,0.002,0.038,,0.06,99.02,,,,,1.432,0.3883
mid12,Miller (thesis),1 atm,0.001,,1170,gl-ol-cp-pl,48.82,1.31,13.52,11.68,0.25,7.89,13.57,1.56,0.049,0.061,,0.05,98.83,,,,,1.609,0.5615
mid12,Miller (thesis),1 atm,0.001,,1170,gl-ol-cp-pl,49.14,1.27,13.66,11.68,0.28,7.84,13.63,1.56,0.038,0.038,,0.06,99.26,,,,,1.598,0.4796
mid12,Miller (thesis),1 atm,0.001,,1170,gl-ol-cp-pl,48.39,1.18,14.53,11.15,0.25,7.72,13.92,1.65,0.04,0.039,,0.07,98.95,,,,,1.69,1.5903
mid12,Miller (thesis),1 atm,0.001,,1170,gl-ol-cp-pl,49.15,1.21,14.11,11.19,0.22,7.79,14.12,1.7,0.03,0.051,,0.07,99.65,,,,,1.73,0.0511
mid12,Miller (thesis),1 atm,0.001,,1170,gl-ol-cp-pl,48.78,1.2,14.35,11.51,0.2,7.7,13.8,1.63,0.034,0.043,,0.07,99.35,,,,,1.664,1.4533
mid34,Miller (thesis),Piston Cylinder,5,,1190,gl-ol-cp-pl,46.43,0.77,15.97,10.36,0.2,6.45,13.4,4.45,0.161,0.022,,0.08,98.42,,,,,4.611,4.2681
mid34,Miller (thesis),Piston Cylinder,5,,1190,gl-ol-cp-pl,46.43,0.82,16.01,10.16,0.23,6.74,13.09,4.73,0.158,0.025,,0.06,98.54,,,,,4.888,11.5434
mid34,Miller (thesis),Piston Cylinder,5,,1190,gl-ol-cp-pl,46.45,0.78,16.15,10.46,0.21,6.4,12.84,4.89,0.143,0.019,,0.07,98.53,,,,,5.033,-173.904
mid34,Miller (thesis),Piston Cylinder,5,,1190,gl-ol-cp-pl,46.47,0.82,15.9,10.34,0.17,6.47,13.13,4.73,0.154,0.004,,0.08,98.37,,,,,4.884,6.4558
mid34,Miller (thesis),Piston Cylinder,5,,1190,gl-ol-cp-pl,46.31,0.81,16.09,10.24,0.16,6.53,13.33,4.67,0.139,0.027,,0.09,98.47,,,,,4.809,7.0828
mid34,Miller (thesis),Piston Cylinder,5,,1190,gl-ol-cp-pl,46.52,0.8,15.98,10.37,0.21,6.62,13.16,4.7,0.166,0.011,,0.12,98.73,,,,,4.866,8.3472
mid34,Miller (thesis),Piston Cylinder,5,,1190,gl-ol-cp-pl,46.32,0.77,16.14,10.09,0.17,6.68,13.42,4.68,0.146,0.025,,0.08,98.61,,,,,4.826,10.1877
mid14,Miller (thesis),Piston Cylinder,10,,1280,gl-ol-cp-pl,47.1,0.98,16.39,11.55,0.21,8.92,12.07,1.74,0.064,0.01,,0.06,99.17,,,,,1.804,11.0701
mid14,Miller (thesis),Piston Cylinder,10,,1280,gl-ol-cp-pl,47.4,0.99,16.55,11.04,0.2,8.86,12.13,1.83,0.041,0.016,,0.06,99.23,,,,,1.871,10.2539
mid14,Miller (thesis),Piston Cylinder,10,,1280,gl-ol-cp-pl,47.95,0.98,16.7,11.3,0.27,8.84,12.34,1.94,0.037,0.036,,0.03,100.52,,,,,1.977,10.313
mid14,Miller (thesis),Piston Cylinder,10,,1280,gl-ol-cp-pl,47.3,0.98,16.59,11.52,0.24,8.73,12.05,1.92,0.053,0.053,,0.02,99.56,,,,,1.973,11.3239
mid14,Miller (thesis),Piston Cylinder,10,,1280,gl-ol-cp-pl,47.14,1.01,16.49,11.59,0.23,8.93,12.16,1.9,0.059,0.01,,0.03,99.66,,,,,1.959,11.219
mid14,Miller (thesis),Piston Cylinder,10,,1280,gl-ol-cp-pl,47.27,0.97,16.36,11.28,0.21,8.84,12.01,1.94,0.065,0.04,,0.06,99.17,,,,,2.005,10.4685
mid14,Miller (thesis),Piston Cylinder,10,,1280,gl-ol-cp-pl,47.53,0.98,16.4,11.67,0.22,9,12.19,1.82,0.052,0.047,,0.06,100.05,,,,,1.872,10.9295
mid14,Miller (thesis),Piston Cylinder,10,,1280,gl-ol-cp-pl,47.35,0.98,16.51,11.47,0.14,8.94,12.01,1.92,0.042,0.04,,0.07,99.57,,,,,1.962,11.0556
mid14,Miller (thesis),Piston Cylinder,10,,1280,gl-ol-cp-pl,47.38,0.95,16.52,11.62,0.22,8.88,12.11,1.94,0.045,0.048,,0.08,99.88,,,,,1.985,11.2557
mid14,Miller (thesis),Piston Cylinder,10,,1280,gl-ol-cp-pl,47.11,0.98,16.45,11.17,0.21,8.95,12.07,1.92,0.062,0.018,,0.07,99.13,,,,,1.982,10.6531
mid23,Miller (thesis),Piston Cylinder,10,,1240,gl-ol-cp-pl,47.28,1.35,15.82,14.22,0.19,7.56,11.15,1.94,0.024,0.025,,0.01,99.71,,,,,1.964,13.2255
mid23,Miller (thesis),Piston Cylinder,10,,1240,gl-ol-cp-pl,46.69,1.33,15.85,14.46,0.23,7.72,11.14,2.04,0.052,0.014,,0.05,99.74,,,,,2.092,14.5326
mid23,Miller (thesis),Piston Cylinder,10,,1240,gl-ol-cp-pl,46.84,1.29,15.66,13.6,0.26,9.18,11.61,1.72,0.034,0.038,,0.03,100.38,,,,,1.754,13.9985
mid23,Miller (thesis),Piston Cylinder,10,,1240,gl-ol-cp-pl,46.55,1.39,15.86,14.17,0.26,7.69,11.28,2.05,0.054,0.05,,0,99.51,,,,,2.104,14.2675
mid23,Miller (thesis),Piston Cylinder,10,,1240,gl-ol-cp-pl,47.02,1.34,15.98,14.32,0.24,7.68,11.17,2.05,0.044,0.047,,0.02,100.08,,,,,2.094,14.3456
mid23,Miller (thesis),Piston Cylinder,10,,1240,gl-ol-cp-pl,46.6,1.33,15.98,13.93,0.25,7.66,11.37,1.95,0.053,0.045,,0.02,99.32,,,,,2.003,13.9409
mid23,Miller (thesis),Piston Cylinder,10,,1240,gl-ol-cp-pl,46.93,1.33,16.03,14.11,0.23,7.56,11.26,2.02,0.056,0.035,,0.02,99.73,,,,,2.076,13.8671
mid23,Miller (thesis),Piston Cylinder,10,,1240,gl-ol-cp-pl,46.91,1.33,16,14.25,0.24,7.74,11.26,1.97,0.056,0.055,,0.03,100,,,,,2.026,14.3974
mid23,Miller (thesis),Piston Cylinder,10,,1240,gl-ol-cp-pl,47.21,1.31,15.95,13.98,0.25,7.64,11.23,2.01,0.045,0.023,,0.04,99.81,,,,,2.055,13.2967
mid23,Miller (thesis),Piston Cylinder,10,,1240,gl-ol-cp-pl,46.94,1.32,15.92,14.19,0.26,7.89,11.26,2.02,0.056,0.053,,0.07,100.19,,,,,2.076,14.2766
